iter	Passed	Remaining
0	2	222
1	4	198
2	5	183
3	6	163
4	8	158
5	10	156
6	11	149
7	12	149
8	14	149
9	16	150
10	18	151
11	20	149
12	22	147
13	23	146
14	25	141
15	26	140
16	28	139
17	30	137
18	32	138
19	34	137
20	36	136
21	37	134
22	39	133
23	41	131
24	43	129
25	44	127
26	45	124
27	48	125
28	50	123
29	52	122
30	54	120
31	56	119
32	58	117
33	59	116
34	62	115
35	64	114
36	66	112
37	67	110
38	69	109
39	71	107
40	72	104
41	73	101
42	74	98
43	77	98
44	79	97
45	81	95
46	83	93
47	84	91
48	86	89
49	88	88
50	90	86
51	92	85
52	95	84
53	97	82
54	98	80
55	100	78
56	101	76
57	103	74
58	104	72
59	106	70
60	107	68
61	109	66
62	110	64
63	111	62
64	112	60
65	114	58
66	115	56
67	116	54
68	117	52
69	118	50
70	119	48
71	121	47
72	122	45
73	122	43
74	123	41
75	125	39
76	126	37
77	127	35
78	127	34
79	128	32
80	129	30
81	130	28
82	131	27
83	132	25
84	133	23
85	134	21
86	135	20
87	136	18
88	137	17
89	138	15
90	139	13
91	140	12
92	141	10
93	142	9
94	143	7
95	144	6
96	145	4
97	146	2
98	147	1
99	148	0
