iter	Passed	Remaining
0	135	134892
1	136	68080
2	137	45714
3	139	34670
4	140	28051
5	142	23617
6	145	20630
7	147	18272
8	148	16401
9	150	14881
10	151	13628
11	152	12595
12	154	11735
13	155	10979
14	157	10333
15	158	9734
16	159	9230
17	160	8769
18	161	8345
19	162	7977
20	163	7644
21	164	7330
22	166	7056
23	166	6790
24	167	6551
25	169	6347
26	171	6165
27	172	5996
28	173	5819
29	174	5648
30	175	5488
31	176	5335
32	177	5189
33	177	5052
34	178	4925
35	179	4801
36	179	4684
37	180	4576
38	181	4473
39	182	4374
40	182	4277
41	183	4187
42	184	4105
43	185	4025
44	186	3953
45	187	3886
46	188	3817
47	189	3749
48	189	3682
49	190	3619
50	191	3559
51	192	3501
52	192	3443
53	193	3389
54	194	3335
55	194	3283
56	195	3234
57	196	3187
58	196	3140
59	197	3094
60	198	3053
61	199	3016
62	200	2977
63	201	2939
64	202	2910
65	203	2877
66	204	2842
67	204	2807
68	205	2773
69	206	2739
70	206	2707
71	207	2676
72	208	2644
73	208	2614
74	209	2584
75	210	2557
76	211	2529
77	211	2502
78	212	2478
79	213	2455
80	214	2432
81	215	2410
82	215	2384
83	216	2361
84	217	2338
85	217	2316
86	218	2294
87	219	2273
88	220	2252
89	220	2230
90	221	2210
91	222	2191
92	222	2172
93	223	2154
94	224	2136
95	225	2119
96	225	2101
97	226	2083
98	227	2066
99	228	2052
100	229	2039
101	230	2025
102	231	2011
103	231	1997
104	232	1981
105	233	1967
106	233	1952
107	234	1938
108	235	1924
109	236	1910
110	236	1897
111	237	1885
112	238	1873
113	239	1860
114	240	1848
115	241	1836
116	241	1824
117	242	1813
118	243	1802
119	244	1792
120	245	1781
121	245	1770
122	246	1758
123	247	1747
124	248	1736
125	248	1725
126	249	1713
127	249	1702
128	251	1694
129	251	1684
130	252	1675
131	253	1665
132	253	1655
133	254	1646
134	255	1637
135	256	1628
136	257	1619
137	258	1611
138	259	1605
139	260	1598
140	261	1590
141	261	1580
142	262	1571
143	262	1562
144	263	1554
145	264	1546
146	265	1538
147	265	1531
148	266	1524
149	267	1517
150	268	1509
151	269	1501
152	269	1493
153	270	1486
154	271	1479
155	272	1472
156	273	1466
157	274	1460
158	274	1454
159	275	1447
160	276	1439
161	277	1433
162	277	1427
163	278	1420
164	279	1414
165	280	1408
166	280	1401
167	281	1395
168	282	1389
169	283	1383
170	284	1377
171	285	1372
172	286	1367
173	286	1362
